Allergy,"Related Foods"
Peanut Allergy,"Peanuts, peanut butter, peanut oil"
Tree Nut Allergy,"Almonds, walnuts, cashews, hazelnuts, pecans, pistachios"
Milk Allergy,"Cow's milk, cheese, yogurt, ice cream, butter, cream"
Egg Allergy,"Eggs, mayonnaise, egg-based sauces, meringue"
Wheat Allergy,"Wheat, bread, pasta, baked goods, cookies, crackers"
Soy Allergy,"Soybeans, tofu, soy sauce, edamame"
Fish Allergy,"Salmon, tuna, cod, mackerel, sardines, anchovies"
Shellfish Allergy,"Shrimp, crab, lobster, clams, oysters, scallops"
Sesame Allergy,"Sesame seeds, sesame oil, tahini, hummus"
Corn Allergy,"Corn, corn syrup, corn starch, popcorn"
Gluten Allergy,"Wheat, barley, rye, malt, some sauces"
Mold Allergy,"Moldy foods, aged cheeses, fermented foods, soy sauce"
Dust Mite Allergy,"Dairy products, shellfish, nuts (in some cases)"
Latex Allergy,"Avocado, banana, kiwi, chestnuts, rubber products"
Fruit Allergy,"Stone fruits (peaches, cherries), apples, pears, plums"
Vegetable Allergy,"Celery, carrots, potatoes, garlic, tomatoes"
Pollen Allergy,"Apples, cherries, peaches, celery, melons"
Red Meat Allergy,"Beef, lamb, pork (due to alpha-gal syndrome)"
Honey Allergy,"Raw honey, honeycomb"
Citrus Allergy,"Oranges, lemons, limes, grapefruits"
Garlic Allergy,"Garlic, garlic powder, garlic salt"
Soy Lecithin Allergy,"Chocolate, baked goods, margarine"
Nightshade Allergy,"Tomatoes, potatoes, eggplants, peppers"
Banana Allergy,"Bananas, banana chips, banana-flavored products"
Beef Allergy,"Beef, gelatin, beef broth"
Rice Allergy,"Rice, rice milk, rice flour"
Potato Allergy,"Potatoes, potato chips, potato flour"
Kiwi Allergy,"Kiwi, kiwi juice, kiwi-flavored products"
Sesame Oil Allergy,"Sesame oil, sesame seeds"
Chocolate Allergy,"Chocolate, cocoa, chocolate-flavored foods"
Chickpea Allergy,"Chickpeas, hummus, falafel"
Sunflower Seed Allergy,"Sunflower seeds, sunflower oil"
Coconut Allergy,"Coconut, coconut milk, coconut oil"
Avocado Allergy,"Avocado, guacamole, avocado oil"
Pork Allergy,"Pork, bacon, ham"
Lentil Allergy,"Lentils, lentil soup, lentil-based products"
Seafood Allergy,"All types of seafood, fish sauces"
Nutritional Yeast Allergy,"Nutritional yeast, some vegan products"
Mustard Allergy,"Mustard seeds, mustard sauces"
Quinoa Allergy,"Quinoa, quinoa flour"
Buckwheat Allergy,"Buckwheat, buckwheat flour"
Gelatin Allergy,"Gelatin, marshmallows, gummy candies"
Tomato Allergy,"Tomatoes, tomato sauce, ketchup"
Carrot Allergy,"Carrots, carrot juice"
Cabbage Allergy,"Cabbage, coleslaw, sauerkraut"
Pea Allergy,"Peas, pea protein, pea soup"
Apple Allergy,"Apples, apple juice, applesauce"
Bell Pepper Allergy,"Bell peppers, pepper flakes"
Cabbage Allergy,"Cabbage, sauerkraut"
Oat Allergy,"Oats, oat flour"
Pine Nut Allergy,"Pine nuts, pesto"
Safflower Oil Allergy,"Safflower oil, some dressings"
Basil Allergy,"Basil, pesto"
Cinnamon Allergy,"Cinnamon, cinnamon rolls"
Nutmeg Allergy,"Nutmeg, spice blends"
Clove Allergy,"Cloves, spice blends"
Turmeric Allergy,"Turmeric, curry powder"
Ginger Allergy,"Ginger, ginger ale"
Peach Allergy,"Peaches, peach juice"
Plum Allergy,"Plums, plum juice"
Grapes Allergy,"Grapes, grape juice"
Mango Allergy,"Mango, mango juice"
Papaya Allergy,"Papaya, papaya juice"
Apricot Allergy,"Apricots, apricot juice"
Chili Pepper Allergy,"Chili peppers, hot sauces"
Black Pepper Allergy,"Black pepper, spice blends"
Allium Allergy,"Onions, garlic, leeks, chives"
Cabbage Allergy,"Cabbage, coleslaw"
Fennel Allergy,"Fennel, fennel seeds"
Raspberry Allergy,"Raspberries, raspberry juice"
Strawberry Allergy,"Strawberries, strawberry jam"
Watermelon Allergy,"Watermelon, watermelon juice"
Coconut Allergy,"Coconut, coconut milk, coconut oil"
Pea Allergy,"Peas, pea soup"
Celery Allergy,"Celery, celery salt"
Lactose Intolerance,"Dairy products, milk, cheese, yogurt"
Sodium Allergy,"High-sodium foods, processed foods"
Caffeine Allergy,"Coffee, tea, caffeinated beverages"
Nitrite Allergy,"Processed meats, bacon, hot dogs"
Additive Allergy,"Food colorings, preservatives"
Xanthan Gum Allergy,"Xanthan gum, gluten-free products"
Sorbic Acid Allergy,"Baked goods, cheese"
Potassium Allergy,"High-potassium foods, bananas, potatoes"
Sulphite Allergy,"Wines, dried fruits"
Dairy Allergy,"Dairy products, milk, cheese"
Caffeine Allergy,"Coffee, tea, energy drinks"
Chlorinated Water Allergy,"Chlorinated water, swimming pool water"
Animal Hair Allergy,"Certain meats, dairy products"
Barley Allergy,"Barley, barley flour"
Broccoli Allergy,"Broccoli, broccoli sprouts"
Cabbage Allergy,"Cabbage, sauerkraut"
Nutmeg Allergy,"Nutmeg, spice blends"
Green Bean Allergy,"Green beans, canned green beans"
Zucchini Allergy,"Zucchini, zucchini bread"
Asparagus Allergy,"Asparagus, asparagus soup"
Spinach Allergy,"Spinach, spinach salads"
Eggplant Allergy,"Eggplant, eggplant parmesan"
Turnip Allergy,"Turnips, turnip greens"
Radish Allergy,"Radishes, radish salad"
Pumpkin Allergy,"Pumpkins, pumpkin pie"
Honeydew Allergy,"Honeydew melons, honeydew juice"
Nuts Allergy,"All types of nuts, nut-based products"
Tapioca Allergy,"Tapioca, tapioca pudding"
Sorbitol Allergy,"Sorbitol, sugar-free products"
Oregano Allergy,"Oregano, spice blends"
Chervil Allergy,"Chervil, spice blends"
Fenugreek Allergy,"Fenugreek, curry blends"
Paprika Allergy,"Paprika, spice blends"
Peppercorn Allergy,"All types of peppercorns, spice blends"
Anise Allergy,"Anise, anise seeds"
Tamarind Allergy,"Tamarind, tamarind paste"
Caraway Allergy,"Caraway seeds, spice blends"
Sunchoke Allergy,"Sunchokes, sunchoke soup"
Poppy Seed Allergy,"Poppy seeds, pastries"
Chilli Allergy,"Chili powder, chili sauces"
Grapefruit Allergy,"Grapefruit, grapefruit juice"
Kumquat Allergy,"Kumquats, kumquat juice"
Lychee Allergy,"Lychees, lychee juice"
Persimmon Allergy,"Persimmons, persimmon pudding"
Dragon Fruit Allergy,"Dragon fruit, smoothies"
Passion Fruit Allergy,"Passion fruit, passion fruit juice"
Custard Apple Allergy,"Custard apples, smoothies"
Durian Allergy,"Durian, durian-flavored products"
Soursop Allergy,"Soursop, soursop juice"
Starfruit Allergy,"Starfruit, starfruit juice"
Cherimoya Allergy,"Cherimoya, cherimoya smoothies"
Honeycrisp Apple Allergy,"Honeycrisp apples, apple-based products"
Navel Orange Allergy,"Navel oranges, orange juice"
Mandarin Orange Allergy,"Mandarins, mandarin juice"
Blood Orange Allergy,"Blood oranges, blood orange juice"
Clementine Allergy,"Clementines, clementine juice"
Kumquat Allergy,"Kumquats, kumquat juice"
Pomelo Allergy,"Pomelos, pomelo juice"
Quince Allergy,"Quinces, quince jam"
Peppers Allergy,"All types of peppers, spice blends"
Cabbage Allergy,"Cabbage, coleslaw"
Fiddlehead Fern Allergy,"Fiddlehead ferns, fiddlehead fern soup"
Cattail Allergy,"Cattails, cattail roots"
Bamboo Shoots Allergy,"Bamboo shoots, bamboo shoot stir-fry"
Kelp Allergy,"Kelp, seaweed salad"
Alfalfa Allergy,"Alfalfa sprouts, alfalfa tea"
Chicory Allergy,"Chicory, chicory coffee"
Dandelion Allergy,"Dandelion greens, dandelion tea"
Nasturtium Allergy,"Nasturtium flowers, nasturtium salad"
Mallow Allergy,"Mallow, mallow leaves"
Purslane Allergy,"Purslane, purslane salad"
Pineapple Allergy,"Pineapples, pineapple juice"
Papaya Allergy,"Papayas, papaya juice"
Mango Allergy,"Mangos, mango juice"
Peach Allergy,"Peaches, peach juice"
Plum Allergy,"Plums, plum juice"
Lemon Allergy,"Lemons, lemon juice"
Lime Allergy,"Limes, lime juice"
Black Currant Allergy,"Black currants, black currant juice"
Red Currant Allergy,"Red currants, red currant juice"
Gooseberry Allergy,"Gooseberries, gooseberry jam"
Elderberry Allergy,"Elderberries, elderberry syrup"
Mulberry Allergy,"Black mulberries, white mulberries"
Jackfruit Allergy,"Jackfruit, jackfruit curry"
Noni Allergy,"Noni fruit, noni juice"
Sapodilla Allergy,"Sapodilla, sapodilla smoothies"
Starfruit Allergy,"Starfruit, starfruit juice"
Mamey Allergy,"Mamey, mamey smoothies"
Sapote Allergy,"Sapote, sapote smoothies"
Acai Allergy,"Acai, acai bowls"
Bacopa Allergy,"Bacopa, bacopa tea"
Chamomile Allergy,"Chamomile tea, chamomile-based products"
Kava Allergy,"Kava, kava tea"
Lavender Allergy,"Lavender, lavender tea"
Licorice Allergy,"Licorice root, licorice candy"
Sage Allergy,"Sage, sage tea"
Thyme Allergy,"Thyme, thyme-based products"
Catnip Allergy,"Catnip tea, catnip-based products"
Lemon Balm Allergy,"Lemon balm, lemon balm tea"
Citrus Allergy,"Citrus fruits, citrus-based products"
Cucumber Allergy,"Cucumbers, cucumber salad"
Squash Allergy,"Squash, squash soup"
Radicchio Allergy,"Radicchio, radicchio salad"
Rhubarb Allergy,"Rhubarb, rhubarb pie"
Watercress Allergy,"Watercress, watercress salad"
Arugula Allergy,"Arugula, arugula salad"
Beet Allergy,"Beets, beet juice"
Sweet Potato Allergy,"Sweet potatoes, sweet potato fries"
Fiddlehead Fern Allergy,"Fiddlehead ferns, fiddlehead fern soup"
Jerusalem Artichoke Allergy,"Jerusalem artichokes, soup"
Cardoon Allergy,"Cardoon, cardoon soup"
Lotus Root Allergy,"Lotus root, lotus root stir-fry"
Kohlrabi Allergy,"Kohlrabi, kohlrabi salad"
Turnip Greens Allergy,"Turnip greens, turnip green soup"
Mustard Greens Allergy,"Mustard greens, mustard green salad"
Beet Greens Allergy,"Beet greens, beet green salad"
Chard Allergy,"Chard, chard salad"
Collard Greens Allergy,"Collard greens, collard green stew"
Endive Allergy,"Endive, endive salad"
Escarole Allergy,"Escarole, escarole soup"
Purslane Allergy,"Purslane, purslane salad"
Chayote Allergy,"Chayote, chayote salad"
Celery Root Allergy,"Celery root, celery root soup"
Fennel Pollen Allergy,"Fennel pollen, spice blends"
Horseradish Allergy,"Horse radish, horseradish sauce"
Mustard Seed Allergy,"Mustard seeds, mustard-based products"
Soybean Allergy,"Soybeans, soy milk, soy sauce"
Teff Allergy,"Teff, teff flour"
Amaranth Allergy,"Amaranth, amaranth flour"
Triticale Allergy,"Triticale, triticale flour"
Barley Allergy,"Barley, barley flour"
Millet Allergy,"Millet, millet porridge"
Spelt Allergy,"Spelt, spelt flour"
Rye Allergy,"Rye, rye bread"
Bulgur Allergy,"Bulgur, bulgur salad"
Freekeh Allergy,"Freekeh, freekeh salad"
Kamut Allergy,"Kamut, kamut flour"
Cornmeal Allergy,"Cornmeal, cornmeal pancakes"
Potato Starch Allergy,"Potato starch, gluten-free products"
Tapioca Starch Allergy,"Tapioca starch, gluten-free products"
Wheat Starch Allergy,"Wheat starch, gluten-free products"
Pea Starch Allergy,"Pea starch, gluten-free products"
Chickpea Flour Allergy,"Chickpea flour, gluten-free products"
Corn Flour Allergy,"Corn flour, corn tortillas"
Rice Flour Allergy,"Rice flour, rice cakes"
Cassava Allergy,"Cassava, cassava flour"
Arrowroot Allergy,"Arrowroot, arrowroot flour"
Black Eyed Pea Allergy,"Black-eyed peas, black-eyed pea salad"
Navy Bean Allergy,"Navy beans, navy bean soup"
Pinto Bean Allergy,"Pinto beans, pinto bean chili"
Kidney Bean Allergy,"Kidney beans, kidney bean salad"
White Bean Allergy,"White beans, white bean soup"
Lima Bean Allergy,"Lima beans, lima bean salad"
Soy Milk Allergy,"Soy milk, soy-based products"
Almond Milk Allergy,"Almond milk, almond-based products"
Coconut Milk Allergy,"Coconut milk, coconut-based products"
Rice Milk Allergy,"Rice milk, rice-based products"
Hemp Milk Allergy,"Hemp milk, hemp-based products"
Oat Milk Allergy,"Oat milk, oat-based products"
Cashew Milk Allergy,"Cashew milk, cashew-based products"
Walnut Milk Allergy,"Walnut milk, walnut-based products"
Pea Milk Allergy,"Pea milk, pea-based products"
Flaxseed Allergy,"Flaxseeds, flaxseed oil"
Chia Seed Allergy,"Chia seeds, chia seed pudding"
Sunflower Seed Allergy,"Sunflower seeds, sunflower oil"
Pumpkin Seed Allergy,"Pumpkin seeds, pumpkin seed butter"
Sesame Seed Allergy,"Sesame seeds, tahini"
Coconut Oil Allergy,"Coconut oil, coconut-based products"
Peanut Oil Allergy,"Peanut oil, peanut-based products"
Olive Oil Allergy,"Olive oil, olive-based products"
Canola Oil Allergy,"Canola oil, canola-based products"
Avocado Oil Allergy,"Avocado oil, avocado-based products"
Soybean Oil Allergy,"Soybean oil, soybean-based products"
Safflower Oil Allergy,"Safflower oil, safflower-based products"
Sunflower Oil Allergy,"Sunflower oil, sunflower-based products"
Grapeseed Oil Allergy,"Grapeseed oil, grapeseed-based products"
Sesame Oil Allergy,"Sesame oil, sesame-based products"
Beeswax Allergy,"Beeswax products, honey"
Lanolin Allergy,"Lanolin-based products, cosmetics"
Balsam Allergy,"Balsam fir, balsam oil"
Bromelain Allergy,"Bromelain, pineapple"
Salicylate Allergy,"Many fruits and vegetables, some spices"
Sulfites Allergy,"Wines, dried fruits"
Histamine Allergy,"Histamine-rich foods, aged cheeses"
Glycyrrhizin Allergy,"Glycyrrhizin, licorice"
Caffeine Allergy,"Caffeine, coffee, tea"
Histamine Intolerance,"Histamine-rich foods, aged cheeses"
Lactose Intolerance,"Lactose-containing foods, dairy products"
Fructose Intolerance,"High-fructose foods, certain fruits"
Sorbitol Intolerance,"Sorbitol-rich foods, certain fruits"
FODMAP Intolerance,"FODMAP-rich foods, certain fruits and vegetables"
Tyramine Intolerance,"Tyramine-rich foods, aged cheeses"
Salicylate Intolerance,"Salicylate-rich foods, certain fruits and vegetables"
Oxalate Intolerance,"High-oxalate foods, spinach, nuts"
